Temperature,Humidity,MQ2,MQ5
25.0,55.0,6,2
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
35.0,70.0,34,1
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
25.5,60.0,300,400
24.9,61.0,1834,162
24.9,60.9,1819,0
24.9,61.2,1793,0
25.0,61.4,1866,16
25.2,77.0,1763,0
25.4,67.2,1793,0
25.5,62.7,1782,0
25.5,61.7,1870,0
25.5,61.0,1808,0
25.6,61.2,1643,0
25.6,61.2,1712,0
25.5,61.2,1682,0
25.6,61.1,1598,0
25.5,61.0,1614,0
25.5,61.2,1595,0
25.6,61.0,1600,0
25.4,61.2,1601,0
25.5,61.2,1597,0
25.5,61.2,1584,0
25.5,61.2,1567,0
25.5,61.3,1586,1910
25.6,61.4,1570,1888
25.6,61.5,1565,1879
25.5,61.3,1563,1872
25.5,61.6,1535,1870
25.5,61.7,1535,1872
25.5,61.9,1535,1855
25.5,62.0,1503,1804
25.5,61.8,1535,1851
25.5,61.7,1531,1840
25.5,61.8,1489,1782
25.5,62.1,1491,1808
25.6,61.5,1490,1795
25.6,61.5,1488,1795
25.5,61.7,1516,1811
25.5,61.9,1519,1811
25.5,61.9,1511,1806
25.6,61.9,1493,1790
25.5,62.0,1495,1783
25.6,62.1,1457,1732
25.6,61.7,1487,1774
25.6,62.0,1485,1773
25.5,62.1,1485,1767
25.6,62.1,1456,1766
25.6,62.5,1445,1707
25.6,62.0,1478,1760
25.6,62.1,1473,1755
25.6,62.2,1488,1745
25.6,62.2,1430,1698
25.6,62.1,1465,1743
25.6,62.1,1470,1737
25.6,62.1,1457,1730
25.6,61.9,1462,1731
25.6,62.1,1462,1732
25.7,62.2,1459,1722
25.7,65.7,1456,1721
26.1,66.9,1479,1717
26.4,63.1,1458,1719
26.6,61.9,1462,1714
26.8,60.9,1462,1714
26.8,60.8,1449,1714
26.8,59.5,1461,1723
26.7,58.3,1469,1703
26.7,57.9,1443,1691
26.4,58.0,1414,1680
26.4,58.4,1434,1679
26.2,58.1,1425,1672
26.2,58.2,1404,1664
26.0,59.0,1407,1663
25.9,58.8,1397,1661
25.8,59.0,1401,1648
25.7,58.7,1401,1655
25.6,59.0,1399,1648
25.4,58.9,1392,1649
25.3,58.6,1390,1644
25.2,58.6,1385,1641
25.1,58.6,1379,1634
25.1,58.9,1362,1629
24.9,59.4,1378,1630
24.8,59.3,1371,1630
24.8,59.5,1370,1626
24.7,59.9,1370,1630
24.6,59.6,1369,1617
24.6,59.6,1363,1617
24.8,59.0,336,694
24.9,58.8,1338,1489
25.0,58.8,1503,1703
25.0,58.7,1501,1710
25.1,58.8,1474,1667
25.1,58.6,1456,1648
25.1,58.7,1439,1639
25.3,58.3,1431,1623
25.3,58.6,1424,1615
25.3,58.4,1409,1614
25.3,58.8,1414,1602
25.2,58.3,1351,1535
25.4,58.3,1403,1616
25.4,58.2,1398,1680
25.4,57.9,1401,1609
25.3,58.1,1392,1601
25.4,58.2,1379,1597
25.3,58.0,1430,1605
25.4,58.1,1419,1627
25.4,58.2,1429,1628
25.3,58.1,1422,1622
25.5,58.6,1415,1586
25.4,58.3,1521,1607
25.4,58.7,1437,1599
25.5,58.1,1405,1609
25.5,57.6,1410,1608
25.4,57.9,1393,1601
25.5,58.1,1382,1597
25.5,57.8,1360,1577
35.0,70.0,34,1
